Al Bake, New Friends Colony, North-Indian Mughlai Chinese, 21 To 23 Community Center New Friends Colony, Delhi
Mad Over Donuts, Green Park, Desserts, G-56 Main Market Green Park, New Delhi
Madhushala, Sushant Lok, North-Indian Mughlai, Adjacent Remfry House B Block Sushant Lok, Gurgaon
Minar, Greater Kailash (GK) 1, North-Indian, M-65 Market Greater Kailash (GK) 1, New Delhi
Manjeet Chicken Corner, Jail Road, North-Indian Mughlai, 4 DDA Market Jail Road, New Delhi
Mirchi Wok, Vikaspuri, North-Indian Chinese, GG1/75A Vikaspuri, New Delhi
Misthaan Cafe, Saket, North-Indian South-Indian Chinese, J Block Market Saket, New Delhi
Moti Mahal Delux Tandoori Trail, Sector 50, North-Indian Chinese, B1/54 Central Market Sector 50, Noida
Moets Curry Pot, DLF Phase 2, Chinese North-Indian Lebanese, 124 & 125 Central Arcade DLF Phase 2, Gurgaon
Mellt's Kulfiano, Defence Colony, Desserts, 47 Main Market Defence Colony, New Delhi
Masala Twist, IGI Airport, North-Indian, T3 Domestic - Departure IGI Airport, New Delhi
MX Corn, Mohan Nagar, Fast-Food, MMX Mall Mohan Nagar, Ghaziabad
Nando's, DLF Cyber City, Portuguese Cafe, Cyber Hub DLF Cyber City, Gurgaon
Naivedyam, Hauz Khas Village, South-Indian, 1 Hauz Khas Village, New Delhi
Nazeer Foods, Sector 18, Mughlai North-Indian, C11 Behind Shipra Hotel Sector 18, Noida
Nirula's, Sector 2, Fast-Food Desserts North-Indian, C 135 Sector 2, Noida
Nizam's Kathi Kabab, DLF Phase 4, North-Indian Street-Food, A-113A Supermart 1 DLF Phase 4, Gurgaon
New York Slice, Rajouri Garden, Pizza, G 21/1 A Main Market Rajouri Garden, New Delhi
Nawabs - The Taste Of Lucknow, IP Extension, Lucknowi, G 1 Pankaj Central Arcade IP Extension, New Delhi
New Kadimi, Janakpuri, North-Indian South-Indian Chinese, 1 & 2 C5A Kadimi Market Janakpuri, New Delhi
New Zealand Natural, Sector 18, Desserts, Adjoining Vatika Restaurant Sector 18, Noida
Nescafe, Netaji Subhash Place, Cafe Fast-Food, G 40 Netaji Subhash Place, New Delhi
New Maharani, Raj Nagar, Chinese North-Indian Sea-Food, D-34 RDC Raj Nagar, Ghaziabad
New Chawla Chicken, Dwarka, Chinese North-Indian, G-5 Pankaj Plaza sector 4 Dwarka, New Delhi
Noodle Court, Naraina, Chinese, G-200 Near PNB Naraina Vihar, New Delhi
Not Just Paranthas, Rajouri Garden, North-Indian, A-24 Vishal Enclave Rajouri Garden, New Delhi
Near East, Vasant Vihar, Chinese, Vasant Vihar Basant Lok Complex, New Delhi
Otik Cake Shop, Rajouri Garden, Bakery Desserts Fast-Food, Shop 2 J 12/22 Rajouri Garden, New Delhi
Open Oven, DLF Phase 4, Fast-Food, A131 Supermart 1 DLF City Phase 4, Gurgaon
Otik Food Plaza, Rohini, North-Indian, A1 North Ex Mall Sector 9 Rohini, New Delhi
Out Of The Box, Hauz Khas Village, North-Indian Asian European, 9 A Hauz Khas Village, New Delhi
Omjee, Sector 14, Chinese Fast-Food North-Indian, 84-85 Shopping Complex Sector 14, Gurgaon
Om Sweets, Sector 14, Desserts North-Indian South-Indian, Sector 14, Gurgaon
Oh! Calcutta, DLF Cyber City, Bengali Sea-Food, First Floor Cyber Hub DLF Cyber City, Gurgaon
Om Sweets & Snacks, Sector 31, North-Indian South-Indian Fast-Food, SCO 17 Main Market Sector 31, Gurgaon
Pind Balluchi, Connaught Place, North-Indian, 13 Regal Building Connaught Place, New Delhi
Punjab Grill, Ambience Mall, North-Indian, 3rd Floor Ambience Mall, Gurgaon
Punjabi By Nature, Sector 18, North-Indian Mughlai, P-19 Sector 18, Noida
Pabrai's Fresh & Naturelle Ice Cream, East Patel Nagar, Desserts, 29/1 East Patel Nagar, New Delhi
Papa Johns, Connaught Place, Fast-Food Italian Pizza, M97 Radial Road 6 Connaught Place, New Delhi
Pakwan, Tilak Nagar, North-Indian Chinese, 1/30 Mall Road Tilak Nagar, New Delhi
Pizza Man, Sector 17, Pizza Fast-Food, 13 Sector-17 Huda Market, Gurgaon
Prego Express, Ambience Mall, Fast-Food Italian, 3rd Floor Food Court Ambience Mall, Gurgaon
Purani Delhi 6, Sector 21, North-Indian, Delhi Wali Masjid Badkhal Pali Road, Faridabad
Pastry Shop, NIT, Bakery, 3E/78 NIT, Faridabad
Planet Eatries, Rohini, Fast-Food, Rohini West Metro Station Rohini, Delhi
Planet Eat Ries, Karol Bagh, Fast-Food, Jhandewalan Metro Station Karol Bagh, Delhi
Pastry Hub, Palam, Desserts, Main Road Mahavir Enclave Part 3 Palam, New Delhi
Q'BA, Connaught Place, Lounge Mediterranean North-Indian, E 42 & 43 Inner Circle Connaught Place, New Delhi
Qureshi's Kabab Corner, Alaknanda, North-Indian Mughlai, 8 Narmada Shopping Complex Alaknanda, New Delhi
Qureshi's Mutton & Chicken Shop, DLF Phase 4, North-Indian Mughlai, E-9 Supermart 2 DLF Phase 4, Gurgaon
Qzine Diner, Vaishali, Chinese Continental North-Indian, 2nd Floor Ansal Plaza Mall Vaishali, Ghaziabad
Qzine Sports Bar, Sector 18, Chinese Mexican Thai, Near The Great Kebab Factory Sector 18, Noida
Rebecca's Designer Cakes, Shahpur Jat, Bakery, 125 Shahpur Jat, New Delhi
Republic of Chicken, Indirapuram, Raw-Meats Fast-Food, 10 & 11 Express Market Indirapuram, Ghaziabad
RPM, Sector 12, Chinese North-Indian Mughlai, Town Park District Court Sector 12, Faridabad
Roll Club, Mayur Vihar Phase 2, Fast-Food, G-6 Sachdeva Plaza Mayur Vihar Phase 2, Delhi
Ruby Tuesday, Connaught Place, American, M-48 Outer Circle Connaught Place, New Delhi
Romi da Dhaba, Sector 14, North-Indian, Opposite Air Force School Old Delhi Road Sector 14, Gurgaon
Rasoi - The Food Express, R K Puram, North-Indian Chinese, 8 Sector-9 Market R K Puram, New Delhi
Route 04, Connaught Place, American Pub, K-2 Middle Circle Connaught Place, New Delhi
Rossa Asap !, Greater Kailash (GK) 2, Italian, Masjid Moth Greater Kailash (GK) 2, New Delhi
RollsKing, Sector 18, Street-Food, G 24A Savitri Market Sector 18, Noida
Reeve, Green Park, North-Indian, S-27 2nd Floor Green Park Market, New Delhi
Red Mango, Connaught Place, Desserts, N-20 Outter Circle Connaught Place, New Delhi
Reeve Cafe, Green Park, American Italian, S-27 2nd Floor Green Park Main Market, New Delhi
Roll Club, Kalkaji, Fast-Food, 6-B 41A Main Road Kalkaji, New Delhi
Relax, Kailash Colony, North-Indian Mughlai Chinese, HS 22 Kailash Colony Market, New Delhi
Rasoi Deliver, Vaishali, North-Indian, 5/5 Gaur Galaxy Sector-5 Vaishali, Ghaziabad
Sagar Ratna, Defence Colony, South-Indian North-Indian Chinese, 18 Defence Colony Market, New Delhi
Side Wok, Connaught Place, Chinese Vietnamese Japanese, P 21/90 Outer Circle Connaught Place, New Delhi
Spaghetti Kitchen, Sector 29, Italian, 27 & 28 City Center Sector 29, Gurgaon
Smoke House Deli, Hauz Khas Village, European, 12 Hauz Khas Village, New Delhi
Striker Pub and Kitchen, Vasant Kunj, North-Indian Asian Continental, T-318 Ambience Mall Vasant Kunj , New Delhi
Smoke House Deli, Khan Market, European, 17 1st Floor Khan Market, New Delhi
Saravana Bhavan, Janpath, South-Indian, 46 Janpath, New Delhi
Starbucks, Netaji Subhash Place, Cafe, HB Twin tower Netaji Subhash Place, New Delhi
Sanjha Chulha, Kailash Colony, North-Indian Mughlai, A 31 Kailash Colony Market, New Delhi
Slice of Italy, Sector 51, Italian Pizza, 7/8/9 VDS Market Sector 51, Noida
Stone - Moets, Defence Colony, Lounge Italian Sea-Food, 50 Moets Defence Colony Market, New Delhi
Swagath, Sector 29, North-Indian South-Indian Chinese, 16-17 Sector-29, Gurgaon
Salad Chef, DLF Cyber City, Healthy-Food Fast-Food, DT Diner Cyber Greens DLF Cyber City, Gurgaon
Saleem's Takeaway, Sector 26, North-Indian Mughlai Chinese, D 68/K1 Jaipuria Plaza Sector 26, Noida
Sakura, MG Road, Japanese, 1st Floor Time Tower MG Road, Gurgaon
Sandoz, Gole Market, Chinese North-Indian, 3/8 Doctor Lane Gole Market, New Delhi
Shawarma Point, Kamla Nagar, Lebanese, Spark MLCP Kamla Nagar, New Delhi
Shree Nandan, Indirapuram, North-Indian, Gaur Gravity Mall Indirapuram, Ghaziabad
The Golconda Bowl, Hauz Khas Village, Hyderabadi, 22 Hauz Khas Village, New Delhi
Tunday Kababi, DLF Phase 1, North-Indian Mughlai, B-2 Qutab Plaza DLF Phase 1, Gurgaon
The Great Kabab Factory, Sector 18, North-Indian Mughlai, Ansal's Fortune Arcade Sector 18, Noida
The Beer Cafe, Ambience Mall, Pub Italian North-Indian, 4th Floor Ambience Mall, Gurgaon
The Yellow Chilli, Laxmi Nagar, North-Indian Mughlai, G-11 V3S Mall Laxmi Nagar, New Delhi
Top Breads, Sector 18, Fast-Food Bakery Desserts, K-4 Ground Floor Sector 18, Noida
The Kylin Experience, Vasant Vihar, Japanese Chinese Sea-Food, 24 Basant Lok Vasant Vihar, New Delhi
The Chinese Hut, Indirapuram, Chinese, SPL 2 Aditya Mega City Indirapuram, Ghaziabad
Tikka Town, Saket, North-Indian, Food Court DLF Place Mall Saket, New Delhi
The Kathi Rolls, Sector 31, Fast-Food, Shop 150 Opposite Om Sweets Sector 31, Gurgaon
The Kathis, Greater Kailash (GK) 1, Street-Food North-Indian, M-29 Greater Kailash (GK) 1, New Delhi
The Chocolate Room, Saket, Desserts, GF-17 PVR Anupam Complex Saket, New Delhi
The Belgian Fries Co., Tagore Garden, Fast-Food, Pacific Mall Tagore Garden, New Delhi
The Green Wok, Greater Kailash (GK) 1, Chinese Italian Mexican, M-71 Greater Kailash (GK) 1, New Delhi
Twenty Four Seven, Connaught Place, Fast-Food, 15 Regal Building Connaught Place, New Delhi
The Coffee Garage, Shahpur Jat, Cafe, C-116 Shahpur Jat, New Delhi
Tamura, Sector 15, Japanese, SCO 20 Sector-15 Part 2, Gurgaon
The Purple Nut, Ashok Vihar Phase 2, Desserts, A-95 Ashok Vihar Phase 2, New Delhi
Tewari Bros Confectioners, Chandni Chowk, Street-Food North-Indian, 862 Chandni Chowk, Delhi
Tibb's Frankie, Sector 25, Street-Food, 2nd Floor Spice World Mall Sector 25, Noida
United Coffee House, Connaught Place, Cafe Asian Continental, E15 Connaught Place, New Delhi
Urban Cafe, Khan Market, Italian Lebanese Chinese, 70 1st Floor Khan Market, New Delhi
United Westends, Punjabi Bagh, Italian North-Indian European, 29 Central Market West Punjabi Bagh, Delhi
US Pizza, Sector 110, Pizza Fast-Food, 7 Block-A 3 Sector-110, Noida
Uncle Chicken, Sector 29, Fast-Food, Main Huda Market Sector 29, Faridabad
Veda, Connaught Place, North-Indian Mughlai, H-27 Outer Circle Connaught Place, New Delhi
Viva Hyderabad, MG Road, Biryani North-Indian, 2nd Floor Sahara Mall MG Road, Gurgaon
Vaango!, Sector 18, South-Indian, J-57 1st Floor Sector 18, Noida
Wenger's, Connaught Place, Bakery Fast-Food Desserts, A16 Connaught Place, New Delhi
Whipped, Greater Kailash (GK) 2, Desserts Cafe, E-556 Greater Kailash (GK) 2, New Delhi
Wok In The Clouds, Rajouri Garden, Cina India-Utara Thai, J-2/13 Rajouri Garden, New Delhi
Wai Yu Mun Ching, DLF Phase 4, Cina Thai, A-215 & 216 Super Mart 1 DLF Phase 4, Gurgaon
Wenger's Deli, Connaught Place, Fast-Food, A-18 Radial Road Connaught Place, New Delhi
Wok In The Clouds, Punjabi Bagh, Cina India-Utara Thai, 3 Club Road Punjabi Bagh West, New Delhi
Wimpy, Hauz Khas, Fast-Food, 31 Aurobindo Place Market Hauz Khas, New Delhi
Wah Ji Wah, Lajpat Nagar 4, North-Indian Chinese, E-124 Amar Colony Lajpat Nagar 4, New Delhi
Waza, Chittaranjan Park, Kashmiri India-Utara, 105 Market-2 Chittaranjan Park, New Delhi
WFC, Sector 31, North-Indian Mughlai, 102 Sector-31 32A Market, Gurgaon
Wok Express, Ambience Mall, Chinese, 3rd Floor Food Court Ambience Mall, Gurgaon
Wah Bhai Wah, Rohini, North-Indian, A 1/168 & 169 Sector-4 Rohini, New Delhi
Yeti - The Himalayan Kitchen, Hauz Khas Village, Tibetan Nepalese, 2nd Floor 50A Hauz Khas Village, New Delhi
Yo! China, Sector 29, Chinese, 1st Floor SCO 41 Sector 29 Market, Gurgaon
Yeti - The Himalayan Kitchen - Express, Malviya Nagar, Tibetan Nepalese, D-74 Main Market Malviya Nagar, New Delhi
Yumz, DLF Phase 1, North-Indian Chinese Italian, H 8/9 Qutab Plaza DLF Phase 1, Gurgaon
Yellow Chilli, Sector 18, North-Indian, J-56 Sector 18, Noida
Yogurberry, MG Road, Tatlı, MGF Metropolitan Mall MG Road, Gurgaon
Yogurt Factory, Malviya Nagar, Desserts, 75 Shivalik Road Malviya Nagar, New Delhi
Yo! Dimsum, Rajouri Garden, Chinese, Ground Floor TDI Mall Rajouri Garden, New Delhi
Zaffran, Greater Kailash (GK) 1, North-Indian, N-2 Greater Kailash (GK) 1, New Delhi
Zambar, Ambience Mall, South-Indian, 3rd Floor Ambience Mall, Gurgaon
Zosse, Sector 29, North-Indian Chinese Pub, 48 Huda Market Sector 29, Faridabad
Zaitoon, Okhla Phase 2, Lebanese Mediterranean, A-133 DDA Sheds Okhla Phase 2, New Delhi
Zaika, Rohini, North-Indian, F-19/18 Sector 8 Rohini, New Delhi
